Job Title,Salary Estimate,Job Description,Company Name
Entry Level Data Scientist: 2022,$61K - $140K (Glassdoor est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Start dates for this role are January 2022 and later
Data scientists are in demand across IBM’s growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to start your career!

What you’ll do as an Entry Level Data Scientist:
Who You Are:
For more information on our other Entry Level opportunities, please visit here.

These are office based positions in IBM locations including the following. Opportunities in these locations will vary based on demand & will be deleted as filled:

CA - San Francisco, San Jose
CT - Southbury
GA - Brookhaven, Sandy Springs
MA – Andover, Cambridge, Lowell
NY - Armonk, NYC
NC - Research Triangle Park
TX - Austin, Dallas","IBM
4.0"
Data Scientist,$70K - $138K (Glassdoor est.),"Title: Data Scientist @ Springfield, VA
Terms of Hire: Full time.
Salary: $ Open / YR + Benefits

Job description

***Active TS/SCI Security Clearance Required***
Looking for an energetic and experienced data scientist and or modeling expert with experience working within a Multi-Int environment.
Responsibilities:
Works with large structured / unstructured data sets, various rest/wms data services, multiple database programs and collection systems, in a modeling and analytical environment, solving hard intelligence problems and issues.
Qualifications:
Desired exp:
You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",CEDENT
Remote Sensing Data Scientist - $150k/yr,Employer Provided Salary:$140K - $150K,"The Remote Sensing Data Scientist will design and test algorithms, conduct prototyping to evaluate possible scenarios leveraging computational and statistical techniques for the development of novel approaches for remotely sensed data.
Qualifications
o a PhD and 5 years of academic or industrial experience OR
o Masters degree and 9 years of academic or industrial experience
Remote Sensing : You are an expert in working with remotely sensed images. You have deep understating of images from different satellite constellations and experience extracting insights from satellite imagery.
Programming: You are proficient in Python or other high level programming language. You are also capable of writing clean code.",Bayer
Data Scientist,Employer Provided Salary:$31 - $65 Per Hour,"Apptio Software-as-Service (SaaS) application. Required 8 years
Data modeling, integration, governance, and data quality. Required 8 years
SQL, multi-dimensional modeling and OLAP, Tableau/Power BI, and SAP Business Objects environments. Required 8 years
Technology Business Management (TBM) framework, best practices, and Taxonomy. Required 8 years
Statistical/predictive modeling experience with Python, Pandas, Matplotlib, Seaborn, StatsModels, and Scikit Learn. Required 5 years
Experience with IT applications and infrastructure data consumption analysis from Mainframes, In-house Data Center Servers, Storage, Network, and Databases from VMWare vCenter, Microsoft Hyper-V, SCCM, cloud computing platforms, and SaaS applications. Required 5 years","Quadrant Resource
3.9"
Senior Data Scientist,$95K - $170K (Glassdoor est.),"E INC is the parent company of EBloc and EDealer, unifying our approach to products, services, and strategies under one Vision and one Mission: to create the best digital auction and retailing platform in the world by connecting the automotive wholesale and retail experiences. Our brands and their technologies make it easy for a vehicle to move between buyers and sellers throughout its entire ownership lifecycle. https://e.inc

Role Summary
The Senior Data Scientist is responsible for applying advanced analytics including both descriptive and predictive analytics, and develop ML models to support the business use cases in the e-Commerce/ B2B industry for: Sales analytics, identifying cross sell and up sell opportunities, product intelligence, implement customer personalization, and pricing. This role will need to understand business requirements, conduct quick research, and generate fast prototyping by working closely with business partners. This role will need to communicate findings to ensure models are well understood and incorporated into business processes. This is a and the candidate can be based out of anywhere in Ontario or Vermont (US).","E Inc.
4.5"
Machine Learning Engineer,Employer Provided Salary:$65 - $75 Per Hour,"Machine Learning Engineer
24+ Months
Skills:
3+ years of experience in Machine learning model development and deployment.
2+ years of experience in Python development
1+ years of experience with Azure/GCP cloud Big Data concepts
Azure SQL Data Warehouse.
Proficiency in Machine Learning models - Time Series, Collaborative Filtering Helpdesk support experience is a plus
Strong analytical skills with troubleshooting abilities.","Integration Developer Network LLC
5.0"
Data Scientist,Employer Provided Salary:$90 - $150 Per Hour,"Role
Data Scientist
Mandatory Technical Skills
· Strong experience with Data Management, Data Engineering (extract, transform, process) and Reporting
· Strong knowledge and experience on Azure Machine Learning (AML), Azure Data Factory (ADF)
· Strong experience in Python, R, SQL",Talent Source
"Data Synthesis Engineer/Scientist, Autopilot Simulation",$78K - $174K (Glassdoor est.),"The Role:
Autopilot is of critical importance to Tesla's mission. It is safer, makes driving more enjoyable, and will ultimately deliver on the promise of self-driving cars. As a member of Tesla's Autopilot Simulation team, you will be in a unique position to accelerate the pace at which Autopilot improves over time. The main ways in which the simulation team realizes this include:
Building tools that enable Autopilot software developers to perform virtual test drives instead of real ones.
Testing all Autopilot software releases for regressive behavior.
Generating synthetic datasets for neural network training
As a Data Science Engineer, you will work on using the simulator to generate synthetic datasets for training the in-car neural networks. Data is a key ingredient in deep learning systems. Although Tesla largely relies on the fleet for data, simulated data provides some unique additional advantages. This role involves a variety of activities including: making improvements to the underlying simulator, procedurally generating and curating data that is as varied, realistic, and useful as possible, running neural network training experiments and iterating on metrics, and more broadly expanding the scope of these processes and supporting related simulation efforts.","Tesla
3.7"
Senior Data Scientist,$94K - $159K (Glassdoor est.),"Afresh is on a mission to eliminate food waste and make fresh food accessible to all. Our first A.I.-powered solution optimizes ordering, forecasting, and store operations for fresh food departments in brick-and-mortar grocers. With our Fresh Operating System, regional and national grocery retailers have placed $1.6 billion in produce orders across the US and we've helped our partners prevent 6.9 million pounds of food from going to waste. Working at Afresh represents a one-of-a-kind opportunity to have massive social impact at scale by leveraging uncommonly impactful software – we hope you'll join us!
About the role
Are you someone who loves digging into messy data and rigorously and irrefutably illustrating the story underneath the numbers? Are you excited about experimentation, balanced groups, statistical power, answering questions that drive the strategy of the company, and uncovering opportunities no one else thought of leveraging data?","Afresh
5.0"
Principal Data Scientist,Employer Provided Salary:$150K - $180K,"- Role - Principal Data Scientist
Location; Nashville, TN, US
Salary: USD $150,000 – $180,000 / yr
Remote:


Job Duties:
Required Qualifications:
PhD degree in a quantitative field including but not limited to data science, physics, computer science, math, engineering, and statistics and 7+ years of data science experience
Mail your cv to kavita@cedentinc.com",CEDENT
Lead Data Scientist,Employer Provided Salary:$130K - $160K,"Lead Data Scientist
Data Science - New York or Remote
What is the role?
Streaming is exploding right now! As a Lead Data Scientist on the Connected TV Measurement team, you will have a front row seat for all of the action.
What will I do?
In this role, you will be working to develop methodologies to enhance Nielsen’s Connected TV measurement. Your primary responsibilities include:
Drive the development, testing, and implementation of new measurement methodologies, including client-focused impact assessments
Build and deploy production-ready automated methodologies into functional modules, including unit tests and quality control checks while incorporating CI/CD workflows
Identify root causes and solve any bugs or quality escapes
Ensure detailed documentation of new methodologies, research findings, and best practices
Ensure product quality, stability, and scalability by facilitating code reviews
Explaining complex model-related concepts in simple terms to non-technical internal and external audiences
Mentor and provide oversight to junior associates while serving as an example by sharing relevant best practices","Nielsen
3.7"
Data Scientist,Employer Provided Salary:$60 - $90 Per Hour,"· Strong problem-solving skills with an emphasis on product development.
· Experience with building NLP based models for text mining using python
· Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
· Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
· Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
· Excellent written and verbal communication skills for coordinating across teams.",Mars Consulting
Data Scientist,0,"Kitestring is a 20-million-dollar company with 155+ associates and growing. We provide technical expertise to various clients including Walmart Labs which is a team of 5,000+ software engineers, data scientists, designers and product managers, the world’s largest retailer, delivering innovations that improve how customers shop and the enterprise operates. You get to experience the best of both worlds with us – the great culture of a small company with unmeetable perks and benefits, and a platform to leave your footprint in the biggest retailer in the world!
Who we are:
A 20-year-old start-up, born in Northwest Arkansas and growing to meet the demand for our expertise and partnership. In addition to Arkansas, Kitestring operates in Colorado, North Carolina, and Washington D.C. Founded in 1998 by a systems developer, Kitestring is rooted in technical expertise. As we grow, our management team consists of engineers that can speak and understand the business demand for technology that makes a bottom-line difference.

Requirements:","Kitestring
4.9"
Data Scientist,$87K - $158K (Glassdoor est.),"Data Scientist
Remote, United States

Who We Are
Abound is on a mission to enable greater wealth and wellness for independent workers, resulting in increased retention, revenue, and compliance for those that serve them. Abound's developer-friendly API lets our partners easily embed benefits into their products, setting aside enough to cover taxes, healthcare, retirement, insurance, and more. Together with our partners, we're building the future independent workers want to work in.",Abound
Data Scientist,$81K - $168K (Glassdoor est.),"Herophilus is reinventing drug discovery for complex brain disorders by combining human brain models, scaled biology and machine learning to decode brain disease, from genetics to neural computation. We're building a world-class high-throughput cell culture, microscopy, and bioassay platform that requires integration of industry-standard and custom proprietary robotic systems. We harness the resulting deep biological insights to systematically discover novel drugs for complex neurodevelopmental and neurodegenerative diseases with a higher probability of technical success.
We are growing our data science team that's at the heart of our drug discovery efforts. We are looking for someone to help us build high-throughput data processing for microscopy images, neuron activity videos, genomics and biochemical assays. Our tech stack is primarily python in docker built atop the AWS cloud.",Herophilus
Data Scientist,$70K - $125K (Glassdoor est.),"Why Data @ VillageMD?
VillageMD is changing the trajectory of healthcare by empowering primary care physicians to make informed decisions and engage patients in meaningful ways. We work with thousands of clinicians and healthcare disruptors across the country to build and contribute to our platform to improve patient health while driving down the cost to deliver it.
We are a mission-oriented organization and are thrilled about the work that we do every day. We're transparent, collaborative, and relentless in pursuit of our mission, all while doing so with humility and a low ego. We believe that diverse backgrounds and experiences create the best opportunity for innovation and the community that we are creating is greater than any individual.","VillageMD
3.6"
Mission Data Scientist,$54K - $112K (Glassdoor est.),"About Epirus
Epirus is a high-growth technology company that develops solid-state, human-safe directed energy systems that enable unprecedented counter-electronics effects and power management solutions to enhance power efficiency in defense and commercial electronics. With a constant emphasis on innovation, we are redefining modern power systems to increase the velocity of change for our customers and bring tomorrow's capabilities to life, today.
Job objective:
Epirus designs and manufactures novel RF systems in a rapid development environment, for customers who are eager to find new and improved ways our technologies can be effectively deployed. The Mission Data Scientist role will focus on statistically sound creation and analysis of the vast amount of data produced by Epirus. Candidates should have experience in statistically analyzing data and designing experiments (Field test, Lab tests, manufacturing, etc) with the goal of guiding company decisions. The Mission Data Scientist develops pipelines to store and analyze data in a statistically meaningful manner (using standard big data cloud services such as those available on AWS). A Mission Data Scientist will have broad reach across the company, advising teams, and the company as a whole, on how to collect and analyze data.","Epirus
4.6"
Data Scientist,$66K - $112K (Glassdoor est.),"This role will primarily be focused on supporting the development of agricultural trials that include both split planter/treatment and strip trials and working to further develop the pipeline and support the transition of research models and data into production code. The work would also be focused on further developing the analysis pipeline.

This position is expected to interact with various functions within the company, including data analytics, science, engineering, and product. Attention to detail, intellectual curiosity, and clear technical communication are key for the success of this role.

Required Skills / Experience:
BA/BS in Computer Science, Statistics, Physics, Applied Math, Agronomy, Engineering or a related quantitative discipline with at least a year of data analytics or data science experience.","Envision
5.0"
Senior Data Scientist,$75K - $147K (Glassdoor est.),"TWO NIL is a growth consultancy that uses a holistic approach to create profitable go to market campaigns – at scale. We provide clients with vertically integrated, unbundled solutions across their acquisition marketing needs, from strategy & planning to execution and optimization & modeling/forecasting. Our clients represent best of breed brands across a diverse range of verticals and geographies.
The Senior Data Scientist develops models and statistical analyses to predict marketing outcomes (e.g. sales and revenue) and understands the impact of advertising investments across multiple channels for companies in various industries with minimal supevision. The Senior Data Scientist will be responsible for data prep, model development, model deployment, and maintenance to ensure quality and accuracy. Will provide analytical support to drive business insights for marketing and advertising campaigns. The Senior Data Scientist will aid in the development of data science products and automation. The Senior Data Scientist will also provide professional mentorship and help serve as a center of excellence. This position requires strong analytical skills in understanding and applying machine learning and optimization techniques as well as the experience in developing in-production data science applications.","TWO NIL
3.1"
Sr. Data Scientist,$93K - $193K (Glassdoor est.),"Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.","PlayStation Global
4.0"
"Staff Data Scientist, Platform",Employer Provided Salary:$150K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.","Salesforce
4.5"
Sr Data Scientist,Employer Provided Salary:$100K - $135K,"Title: :Sr Data Scientist@ Atlanta, GA
Terms of Hire: Full Time.
Salary: $ 100,000–$135,000/ YR + Benefits.

Job description::
Job Specific Experience Required/Preferred for the Role:
Master’s degree or higher in mathematics or economics. At least five years employment experience past that masters in a data science or other analytics field.
Prior experience working for one of the following:
What Part Will You Play?
What Are We Looking for in This Role?
Minimum Qualifications
What Are Our Desired Skills and Capabilities?
You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",CEDENT
NLP Data Scientist,$73K - $145K (Glassdoor est.),"About Us
Nativo empowers brands and publishers with the world's most advanced technology for content. For brands, we enable storytelling at scale with the largest native reach and insights that unlock return-on-content. For publishers, we enrich monetization with the most comprehensive platform for next-generation ad formats and breakthrough technology for accelerated web pages. Our mission is to equip advertising for the age of content, improving the open web experience and creating meaningful connections with today's digital consumer.","Nativo
4.0"
Data Scientist,$82K - $169K (Glassdoor est.),"Do you want to change the world? We do, too.

Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.","SunPower
3.9"
Data Scientist,Employer Provided Salary:$31 - $65 Per Hour,"Apptio Software-as-Service (SaaS) application. Required 8 years
Data modeling, integration, governance, and data quality. Required 8 years
SQL, multi-dimensional modeling and OLAP, Tableau/Power BI, and SAP Business Objects environments. Required 8 years
Technology Business Management (TBM) framework, best practices, and Taxonomy. Required 8 years
Statistical/predictive modeling experience with Python, Pandas, Matplotlib, Seaborn, StatsModels, and Scikit Learn. Required 5 years
Experience with IT applications and infrastructure data consumption analysis from Mainframes, In-house Data Center Servers, Storage, Network, and Databases from VMWare vCenter, Microsoft Hyper-V, SCCM, cloud computing platforms, and SaaS applications. Required 5 years","Quadrant Resource
3.9"
Senior Data Scientist,$98K - $200K (Glassdoor est.),"About Shift:
We believe car buying should be fun, fair, and accessible to everyone. We've set out to transform an industry, using technology to bring transparency and convenience to the car buying process.
And we aren't stopping there. We seek to bring that same openness and simplicity to car ownership too, with payments, maintenance, and insurance in one easy app. At Shift, we're building the tools that empower people to buy, own, and sell the cars that make life go.
About the role:","Shift
3.7"
Principal Data Scientist,Employer Provided Salary:$150K - $180K,"- Role - Principal Data Scientist
Location; Nashville, TN, US
Salary: USD $150,000 – $180,000 / yr
Remote:


Job Duties:
Required Qualifications:
PhD degree in a quantitative field including but not limited to data science, physics, computer science, math, engineering, and statistics and 7+ years of data science experience
Mail your cv to kavita@cedentinc.com",CEDENT
Data Scientist,Employer Provided Salary:$60 - $90 Per Hour,"· Strong problem-solving skills with an emphasis on product development.
· Experience with building NLP based models for text mining using python
· Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
· Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
· Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
· Excellent written and verbal communication skills for coordinating across teams.",Mars Consulting
"Staff Data Scientist, Platform",Employer Provided Salary:$150K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.","Slack
4.6"
Business Insights Data Scientist,$70K - $125K (Glassdoor est.),"Applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of new ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Frequently represents the organization to external customers/clients. Exercises significant independent judgment within broadly defined policies and practices to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower level employees.
Responsibilities", 
Mission Data Scientist,$54K - $112K (Glassdoor est.),"About Epirus
Epirus is a high-growth technology company that develops solid-state, human-safe directed energy systems that enable unprecedented counter-electronics effects and power management solutions to enhance power efficiency in defense and commercial electronics. With a constant emphasis on innovation, we are redefining modern power systems to increase the velocity of change for our customers and bring tomorrow's capabilities to life, today.
Job objective:
Epirus designs and manufactures novel RF systems in a rapid development environment, for customers who are eager to find new and improved ways our technologies can be effectively deployed. The Mission Data Scientist role will focus on statistically sound creation and analysis of the vast amount of data produced by Epirus. Candidates should have experience in statistically analyzing data and designing experiments (Field test, Lab tests, manufacturing, etc) with the goal of guiding company decisions. The Mission Data Scientist develops pipelines to store and analyze data in a statistically meaningful manner (using standard big data cloud services such as those available on AWS). A Mission Data Scientist will have broad reach across the company, advising teams, and the company as a whole, on how to collect and analyze data.","Epirus
4.6"
Data Scientist,$98K - $166K (Glassdoor est.),"Joby Overview: Located in Northern California, the Joby Aviation team has been steadily working toward our goal of providing safe, affordable, fully electric air transportation that is accessible to everyone. Imagine an air taxi that takes off vertically, then quietly and quickly carries you over the congestion below, giving you back that time you’d otherwise spend sitting in traffic. Technology has advanced to the point where designing and operating an all-electric aircraft is completely viable. Our team has been discreetly designing and flight testing this vehicle and is looking for talented individuals to see it through certification and high rate production. Overview:
Working as a Data Scientist in the Data Analytics core team you will be responsible for developing analytical tools and reporting results from numerous tests and flight operations. You should be able to work cohesively with subject matter experts, understand both data systems and physical systems, and have an eye for anomalies in physical test data. A good dose of ingenuity is required when approaching a new dataset. You will also need to work closely with your colleagues across a broad set of highly technical disciplines who depend on data. The ideal candidate is energetic, has a positive attitude, is flexible and excited about learning and using new technologies.
Responsibilities:
Required:
Desired:","Joby Aviation
4.3"
Sr. Data Scientist,Employer Provided Salary:$85 Per Hour,"Responsibilities:
Ability to demonstrate algorithm development and predictive modeling to solve problems.
Domain knowledge of manufacturing processes or work experience in manufacturing support roles such as Engineering and Operations.
Must have experience with AWS.
Must have SCRUM Certification.
Ability to perform as a technical lead providing technical coaching and mentoring to others.
Proven consulting skills and experience, influence effectively, ability to resolve impediments in a timely manner.",Spotline Inc
Data Scientist,$66K - $126K (Glassdoor est.),"Job Summary:
Hilltop Holdings Inc. (NYSE:HTH) is a Texas-based diversified financial holding company specializing in banking, mortgage origination, and financial advisory through its wholly owned subsidiaries, PlainsCapital Bank, PrimeLending, and HilltopSecurities.

Under the direction of the Data Manager, the Data Scientist will work throughout the organization to leverage data to drive business solutions. The Data Scientist will analyze company data using predictive and prescriptive modeling techniques to help streamline and optimize our resources and processes.
Essential Functions:
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Job Requirements:
About the Company:","Hilltop Holdings, Inc.
3.6"
Staff Data Scientist,Employer Provided Salary:$180K - $210K,"Emergency room visits and hospital stays can be uncomfortable and stressful times for families and their loved ones. DispatchHealth allows people to receive high quality and cost-effective medical care in the comfort of their homes. A rapidly scaling startup, DispatchHealth provides an integrated, convenient, high-touch care-delivery solution that extends the capabilities of the patient's care team and ensures that we provide personalized, quality care in the home or at the patient's location of need.
Data and technology drive all aspects of our business and allow for better care delivery from patient onboarding, patient care, and post care follow-up. We're looking to create a best-in-class technology platform that helps our patients stay in the comfort of their homes – and we're looking for people like you to help shape and build the technology that changes the way people receive healthcare.
As a Staff Data Scientist at DispatchHealth, you will work cross-functionally to research, develop, and implement robust data science solutions to solve critical business problems. In addition, you will work directly with the product, engineering, data engineering and clinical teams to facilitate the implementation of algorithms, measure performance against key performance indicators, and drive a process of continuous improvement using data. This person will report to the Vice President of Data Science and Data Engineering.","DispatchHealth
3.1"
"Data Scientist, Operations Data Science",Employer Provided Salary:$95K,"Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: Mountain View, CA, USA.
Remote location(s): United States.
Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.","Google
4.5"
